Name,Motors,WheelSize,CurrLim,TTG/TractForce,TTG,TractForce,MinVolt,PushCurr,TurnCurr,MaxSpd,Stages,Ratio
[Swerve] Custom,4,4,86,0.0168,2.64,157,7.24,276,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,86,0.0168,2.64,157,7.24,276,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,84,0.0172,2.64,153,7.36,270,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,84,0.0172,2.64,153,7.36,270,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,82,0.0172,2.77,161,7.48,263,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,82,0.0177,2.65,150,7.48,263,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,82,0.0177,2.65,150,7.48,263,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,80,0.0177,2.78,157,7.6,257,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] SDS MK4i Very Fast Gearing,4,4,80,0.0182,2.65,146,7.6,257,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,80,0.0182,2.65,146,7.6,257,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,78,0.0182,2.78,153,7.72,251,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,76,0.0182,2.94,161,7.84,244,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,78,0.0187,2.66,142,7.72,251,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,78,0.0187,2.66,142,7.72,251,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,76,0.0187,2.79,149,7.84,244,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,74,0.0188,2.95,157,7.96,238,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,76,0.0192,2.66,138,7.84,244,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,76,0.0192,2.66,138,7.84,244,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,74,0.0192,2.79,145,7.96,238,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,72,0.0194,2.96,153,8.08,231,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,74,0.0198,2.67,135,7.96,238,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,74,0.0198,2.67,135,7.96,238,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,72,0.0199,2.8,141,8.08,231,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,70,0.0199,2.96,148,8.2,225,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,72,0.0205,2.68,131,8.08,231,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,72,0.0205,2.68,131,8.08,231,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,70,0.0205,2.81,137,8.2,225,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,68,0.0206,2.97,144,8.32,218,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,70,0.0211,2.69,127,8.2,225,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,70,0.0211,2.69,127,8.2,225,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,68,0.0212,2.82,133,8.32,218,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,66,0.0213,2.98,140,8.44,212,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,68,0.0219,2.7,124,8.32,218,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,68,0.0219,2.7,124,8.32,218,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,66,0.0219,2.83,129,8.44,212,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,64,0.022,2.98,135,8.56,206,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,66,0.0226,2.71,120,8.44,212,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,66,0.0226,2.71,120,8.44,212,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,64,0.0227,2.84,125,8.56,206,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,62,0.0228,2.99,131,8.68,199,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,64,0.0234,2.72,116,8.56,206,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,64,0.0234,2.72,116,8.56,206,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,62,0.0236,2.85,121,8.68,199,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,60,0.0237,3.0,127,8.8,193,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,62,0.0243,2.73,112,8.68,199,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,62,0.0243,2.73,112,8.68,199,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,60,0.0244,2.86,117,8.8,193,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,58,0.0247,3.02,122,8.92,186,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,60,0.0253,2.75,109,8.8,193,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,60,0.0253,2.75,109,8.8,193,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,58,0.0254,2.87,113,8.92,186,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,56,0.0257,3.03,118,9.04,180,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,58,0.0263,2.76,105,8.92,186,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,58,0.0263,2.76,105,8.92,186,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,56,0.0265,2.89,109,9.04,180,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,54,0.0267,3.04,114,9.16,173,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,56,0.0275,2.78,101,9.04,180,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,56,0.0275,2.78,101,9.04,180,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,54,0.0276,2.9,105,9.16,173,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,52,0.028,3.06,109,9.28,167,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,54,0.0287,2.8,97,9.16,173,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,54,0.0287,2.8,97,9.16,173,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,52,0.0289,2.92,101,9.28,167,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,50,0.0292,3.07,105,9.4,161,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,52,0.0301,2.82,94,9.28,167,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,52,0.0301,2.82,94,9.28,167,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,50,0.0303,2.94,97,9.4,161,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,48,0.0307,3.09,101,9.52,154,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,50,0.0315,2.84,90,9.4,161,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,50,0.0315,2.84,90,9.4,161,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,48,0.0318,2.96,93,9.52,154,127,16.27,(13: 50: 28: 16: 15: 45),6.59
