┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┩
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.032    │ 4.2   │ 131.32       │ 8.95      │ 258        │ 105       │ 10.2    │ (9, 62, 16, 40, 26, 40)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.032    │ 4.2   │ 131.26       │ 8.95      │ 258        │ 105       │ 10.2    │ (11, 60, 18, 38, 20, 46)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0321   │ 4.2   │ 130.88       │ 8.95      │ 258        │ 102       │ 10.2    │ (9, 62, 16, 40, 20, 46)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0321   │ 4.2   │ 130.79       │ 8.95      │ 258        │ 102       │ 10.2    │ (10, 60, 18, 38, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0322   │ 4.1   │ 127.14       │ 8.95      │ 258        │ 108       │ 10.5    │ (13, 58, 16, 40, 20, 46)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0322   │ 4.15  │ 129.07       │ 8.95      │ 258        │ 104       │ 10.35   │ (12, 60, 16, 40, 16, 50)    │
│ VEX 3 CIM Ball Shifter                                  │ 4        │ 4    │ 34        │ 0.0322   │ 4.15  │ 129.07       │ 8.95      │ 258        │ 107       │ 10.35   │ (12, 50, 24, 60, 24, 60)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0322   │ 4.2   │ 130.56       │ 8.95      │ 258        │ 105       │ 10.25   │ (11, 60, 22, 34, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0322   │ 4.2   │ 130.32       │ 8.95      │ 258        │ 106       │ 10.25   │ (8, 62, 16, 40, 28, 38)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0322   │ 4.25  │ 132.0        │ 8.95      │ 258        │ 101       │ 10.1    │ (10, 60, 16, 40, 18, 48)    │
│ VEX 2 CIM Ball Shifter                                  │ 4        │ 4    │ 34        │ 0.0322   │ 4.25  │ 132.0        │ 8.95      │ 258        │ 104       │ 10.1    │ (12, 40, 24, 60, 20, 64)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0323   │ 4.2   │ 130.1        │ 8.95      │ 258        │ 106       │ 10.25   │ (10, 60, 16, 40, 24, 42)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0324   │ 4.15  │ 128.14       │ 8.95      │ 258        │ 104       │ 10.45   │ (9, 62, 18, 38, 18, 48)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0324   │ 4.15  │ 128.03       │ 8.95      │ 258        │ 104       │ 10.45   │ (9, 62, 20, 36, 16, 50)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0324   │ 4.15  │ 128.03       │ 8.95      │ 258        │ 104       │ 10.45   │ (8, 62, 16, 40, 22, 44)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0324   │ 4.2   │ 129.76       │ 8.95      │ 258        │ 106       │ 10.3    │ (11, 60, 20, 36, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0325   │ 3.95  │ 121.36       │ 8.95      │ 258        │ 113       │ 11.0    │ (9, 62, 22, 34, 20, 46)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0325   │ 4.0   │ 123.11       │ 8.95      │ 258        │ 111       │ 10.85   │ (10, 60, 20, 36, 20, 46)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0325   │ 4.0   │ 123.11       │ 8.95      │ 258        │ 111       │ 10.85   │ (9, 62, 26, 30, 16, 50)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0325   │ 4.0   │ 122.91       │ 8.95      │ 258        │ 109       │ 10.85   │ (8, 62, 20, 36, 18, 48)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0325   │ 4.0   │ 122.91       │ 8.95      │ 258        │ 112       │ 10.85   │ (9, 62, 20, 36, 22, 44)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0325   │ 4.05  │ 124.75       │ 8.95      │ 258        │ 110       │ 10.7    │ (8, 62, 18, 38, 26, 40)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0325   │ 4.05  │ 124.48       │ 8.95      │ 258        │ 110       │ 10.75   │ (13, 58, 18, 38, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0325   │ 4.1   │ 126.14       │ 8.95      │ 258        │ 109       │ 10.6    │ (9, 62, 18, 38, 24, 42)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0326   │ 3.95  │ 120.99       │ 8.95      │ 258        │ 113       │ 11.05   │ (8, 62, 20, 36, 24, 42)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0326   │ 4.0   │ 122.55       │ 8.95      │ 258        │ 112       │ 10.9    │ (10, 60, 22, 34, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0326   │ 4.05  │ 124.38       │ 8.95      │ 258        │ 110       │ 10.75   │ (13, 58, 20, 36, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0326   │ 4.05  │ 124.34       │ 8.95      │ 258        │ 107       │ 10.75   │ (8, 62, 18, 38, 20, 46)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0326   │ 4.3   │ 132.0        │ 8.95      │ 252        │ 102       │ 9.9     │ (11, 60, 16, 40, 22, 44)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0327   │ 4.05  │ 123.9        │ 8.95      │ 258        │ 111       │ 10.8    │ (12, 60, 16, 40, 22, 44)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0327   │ 4.05  │ 123.9        │ 8.95      │ 258        │ 111       │ 10.8    │ (10, 60, 24, 32, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0327   │ 4.05  │ 123.67       │ 8.95      │ 258        │ 108       │ 10.8    │ (8, 62, 22, 34, 16, 50)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0327   │ 4.1   │ 125.56       │ 8.95      │ 258        │ 109       │ 10.65   │ (10, 60, 18, 38, 22, 44)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0328   │ 3.9   │ 118.95       │ 8.95      │ 258        │ 115       │ 11.25   │ (12, 60, 20, 36, 18, 48)    │
│ VEX 3 CIM Ball Shifter                                  │ 4        │ 4    │ 34        │ 0.0328   │ 3.9   │ 118.95       │ 8.95      │ 258        │ 115       │ 11.25   │ (12, 50, 30, 54, 20, 64)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0328   │ 3.9   │ 118.9        │ 8.95      │ 258        │ 112       │ 11.25   │ (11, 60, 18, 38, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0328   │ 3.9   │ 118.72       │ 8.95      │ 258        │ 115       │ 11.25   │ (8, 62, 22, 34, 22, 44)     │
