┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━┳━
┃ Name                                                     ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test  ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr   ┃ 
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━╇━━━━━━━━━━━╇━━━━━━━╇━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━━╇━
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.0   │ 121.54       │ 8.25      │ 300        │ 176        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.0   │ 120.8        │ 8.25      │ 300        │ 160        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.0   │ 120.49       │ 8.25      │ 300        │ 160        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.0   │ 120.02       │ 8.25      │ 300        │ 178        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.05  │ 125.39       │ 8.25      │ 300        │ 171        │ 
│ VEX 3 CIM Ball Shifter                                   │ 6        │ 6    │ 54        │ 0.02  │ 3.05  │ 125.17       │ 8.25      │ 300        │ 155        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.05  │ 124.91       │ 8.25      │ 300        │ 155        │ 
│ VEX 3 CIM Ball Shifter                                   │ 6        │ 6    │ 54        │ 0.02  │ 3.05  │ 124.4        │ 8.25      │ 300        │ 155        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.05  │ 124.38       │ 8.25      │ 300        │ 155        │ 
