┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┩
│ WCP SS Gearbox                                          │ 6        │ 6    │ 49        │ 0.008    │ 1.05  │ 132.0        │ 8.65      │ 272        │ 125       │ 13.6    │ (11, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 50        │ 0.008    │ 1.05  │ 132.0        │ 8.55      │ 267        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 50        │ 0.008    │ 1.05  │ 132.0        │ 8.55      │ 272        │ 125       │ 13.6    │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 50        │ 0.008    │ 1.05  │ 132.0        │ 8.55      │ 275        │ 137       │ 13.7    │ (14, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 51        │ 0.008    │ 1.05  │ 132.0        │ 8.45      │ 267        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 51        │ 0.008    │ 1.05  │ 132.0        │ 8.45      │ 272        │ 125       │ 13.6    │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 51        │ 0.008    │ 1.05  │ 132.0        │ 8.45      │ 275        │ 137       │ 13.75   │ (14, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 51        │ 0.008    │ 1.05  │ 132.0        │ 8.45      │ 281        │ 140       │ 14.0    │ (12, 50, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 52        │ 0.008    │ 1.05  │ 132.0        │ 8.4       │ 267        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 52        │ 0.008    │ 1.05  │ 132.0        │ 8.4       │ 272        │ 125       │ 13.6    │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 52        │ 0.008    │ 1.05  │ 132.0        │ 8.4       │ 275        │ 137       │ 13.75   │ (14, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 52        │ 0.008    │ 1.05  │ 132.0        │ 8.4       │ 281        │ 140       │ 14.0    │ (12, 50, 30, 44)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 52        │ 0.008    │ 1.05  │ 132.0        │ 8.4       │ 286        │ 142       │ 14.2    │ (12, 72)                    │
│ EVO Slim                                                │ 6        │ 4    │ 52        │ 0.008    │ 1.05  │ 132.0        │ 8.4       │ 286        │ 142       │ 14.2    │ (15, 85, 34, 36)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 53        │ 0.008    │ 1.05  │ 132.0        │ 8.3       │ 267        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 53        │ 0.008    │ 1.05  │ 132.0        │ 8.3       │ 272        │ 125       │ 13.6    │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 53        │ 0.008    │ 1.05  │ 132.0        │ 8.3       │ 275        │ 137       │ 13.75   │ (14, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 53        │ 0.008    │ 1.05  │ 132.0        │ 8.3       │ 281        │ 140       │ 14.0    │ (12, 50, 30, 44)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 53        │ 0.008    │ 1.05  │ 132.0        │ 8.3       │ 286        │ 142       │ 14.25   │ (12, 72)                    │
│ EVO Slim                                                │ 6        │ 4    │ 53        │ 0.008    │ 1.05  │ 132.0        │ 8.3       │ 286        │ 142       │ 14.25   │ (15, 85, 34, 36)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 54        │ 0.008    │ 1.05  │ 132.0        │ 8.25      │ 267        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 54        │ 0.008    │ 1.05  │ 132.0        │ 8.25      │ 272        │ 125       │ 13.6    │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 54        │ 0.008    │ 1.05  │ 132.0        │ 8.25      │ 275        │ 137       │ 13.75   │ (14, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 54        │ 0.008    │ 1.05  │ 132.0        │ 8.25      │ 281        │ 140       │ 14.0    │ (12, 50, 30, 44)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 54        │ 0.008    │ 1.05  │ 132.0        │ 8.25      │ 286        │ 142       │ 14.25   │ (12, 72)                    │
│ EVO Slim                                                │ 6        │ 4    │ 54        │ 0.008    │ 1.05  │ 132.0        │ 8.25      │ 286        │ 142       │ 14.25   │ (15, 85, 34, 36)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 54        │ 0.008    │ 1.05  │ 132.0        │ 8.25      │ 296        │ 136       │ 14.65   │ (12, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 53        │ 0.008    │ 1.05  │ 131.18       │ 8.3       │ 294        │ 136       │ 14.65   │ (12, 50, 24, 50)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 51        │ 0.008    │ 1.05  │ 130.74       │ 8.45      │ 283        │ 142       │ 14.2    │ (12, 72)                    │
│ EVO Slim                                                │ 6        │ 4    │ 51        │ 0.008    │ 1.05  │ 130.74       │ 8.45      │ 283        │ 142       │ 14.2    │ (15, 85, 34, 36)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 49        │ 0.008    │ 1.05  │ 130.7        │ 8.65      │ 272        │ 137       │ 13.7    │ (14, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 50        │ 0.008    │ 1.05  │ 130.48       │ 8.55      │ 278        │ 140       │ 14.0    │ (12, 50, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 54        │ 0.0081   │ 1.05  │ 130.34       │ 8.25      │ 300        │ 150       │ 14.95   │ (13, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 54        │ 0.0081   │ 1.05  │ 129.39       │ 8.25      │ 300        │ 152       │ 15.0    │ (11, 42, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 52        │ 0.0082   │ 1.05  │ 128.64       │ 8.4       │ 289        │ 136       │ 14.65   │ (12, 50, 24, 50)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 50        │ 0.0082   │ 1.05  │ 128.11       │ 8.55      │ 278        │ 142       │ 14.2    │ (12, 72)                    │
│ EVO Slim                                                │ 6        │ 4    │ 50        │ 0.0082   │ 1.05  │ 128.11       │ 8.55      │ 278        │ 142       │ 14.2    │ (15, 85, 34, 36)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 53        │ 0.0082   │ 1.05  │ 127.87       │ 8.3       │ 294        │ 150       │ 14.9    │ (13, 50, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 49        │ 0.0082   │ 1.05  │ 127.8        │ 8.65      │ 272        │ 140       │ 13.95   │ (12, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 53        │ 0.0083   │ 1.05  │ 126.94       │ 8.3       │ 294        │ 152       │ 15.0    │ (11, 42, 30, 44)            │
